Unnamed: 0,military_base_name,coordinates,longtitudes,latitudes,description,type,type_norm,tags
0,25th Separate Guards Motor Rifle Brigade,"29.81658718719094,58.74889541053387,0",29.81658718719094,58.74889541053387,"military unit 29760, Commander: Colonel Ivan Smerdov, (Т-72B, MT-LB, BTR-80, 2S1 Gvozdika, BM-21 Grad)",Garrison / Unit Base,garrison,[]
1,138th Separate Guards Motor Rifle Brigade,"29.10569314483713,60.44271348334123,0",29.10569314483713,60.44271348334123,"military unit 02511, Commander: Colonel Sergei Maksimov, (T-72B3, MT-LB, 2S3 Akatsiya, BM-21 Gtad, 9K332M Tor-M2U)",Garrison / Unit Base,garrison,"[""air_defense"", ""missile""]"
2,26th Missile Brigade,"29.80244393097845,58.74744623286711,0",29.80244393097845,58.74744623286711,"military unit 54006, (9K720 Iskander-M)",Missile Unit / Site,missile_base,"[""missile""]"
3,9th Guards Artillery Brigade,"29.83167308460646,58.68103229904996,0",29.83167308460646,58.68103229904996,"military unit 02561, (2S19 Msta-S, BM-27 Uragan, 9K114 Shturm)",Garrison / Unit Base,garrison,[]
4,/B 5th Anti-Aircraft Missile Brigade,"29.77389912035505,59.88951366031888,0",29.77389912035505,59.88951366031888,"military unit 74429, (9K331 Tor-M1)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
5,/B 5th Anti-Aircraft Missile Brigade,"29.30127571344309,59.96674190817853,0",29.30127571344309,59.96674190817853,"military unit 74429, (9K317 Buk-M2)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
6,/B 95th Command and Control Brigade,"30.11378512669923,59.77613390155582,0",30.11378512669923,59.77613390155582,military unit 13821,Garrison / Unit Base,garrison,"[""hq""]"
7,140th Guards Engineer-Sapper Regiment,"30.31720145579342,60.31817448032226,0",30.31720145579342,60.31817448032226,military unit 18437,Garrison / Unit Base,garrison,[]
8,51st Separate Logistics Brigade,"30.12321951879084,59.71625706906827,0",30.12321951879084,59.71625706906827,military unit 72152,Garrison / Unit Base,garrison,[]
9,67th Separate Automobile Battalion,"30.2168657641991,60.12736862011289,0",30.2168657641991,60.12736862011289,military unit 11255,Garrison / Unit Base,garrison,[]
10,6th NBC Protection Regiment,"29.95292054572463,60.71443914781586,0",29.95292054572463,60.71443914781586,military unit 12086,Garrison / Unit Base,garrison,[]
11,6th Combined Arms Army HQ,"30.27898370865489,60.2316217362867,0",30.27898370865489,60.2316217362867,military unit 31807,Garrison / Unit Base,garrison,"[""hq""]"
12,Separate Repair and Recovery Battalion,"33.38184476548184,69.06045750448125,0",33.38184476548184,69.06045750448125,military unit 49228,Garrison / Unit Base,garrison,[]
13,Engineer Battalion,"32.81872738312406,68.81340289824395,0",32.81872738312406,68.81340289824395,military unit 64358,Garrison / Unit Base,garrison,[]
14,n/a Separate Comunications Regiment,"33.09468562335866,68.95271193131576,0",33.09468562335866,68.95271193131576,military unit 57243,Garrison / Unit Base,garrison,[]
15,45th Separate Automobile Battalion,"33.11407239890308,69.01407153750301,0",33.11407239890308,69.01407153750301,military unit 20233,Garrison / Unit Base,garrison,[]
16,203rd Separate Maintenance and Technical Company,"52.3170472346308,71.54529929904481,0",52.3170472346308,71.54529929904481,military unit 77510,Garrison / Unit Base,garrison,[]
17,7022nd Repair and Storage Base,"32.36741545491756,67.18865791044928,0",32.36741545491756,67.18865791044928,military unit 71216,Logistics / Ammo Storage,logistics_ammo,"[""logistics"", ""storage""]"
18,n/a Separate Engineer-Sapper Regiment,"33.10105365286491,68.89675901203418,0",33.10105365286491,68.89675901203418,military unit 67171,Garrison / Unit Base,garrison,[]
19,Murmansk BN EW System,"33.2902059947321,68.51539435076671,0",33.2902059947321,68.51539435076671,,Unknown,unknown,"[""electronic""]"
20,1st Tank Regiment,"36.9560186633077,55.54032629897123,0",36.9560186633077,55.54032629897123,"military unit 58190, (T-72B3, BMP-2, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
21,1st Guards Motor Rifle Regiment,"36.96815598809418,55.54677540953207,0",36.96815598809418,55.54677540953207,"military unit 31135, (T-72B3, BTR-80/82A, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
22,15th Guards Motor Rifle Regiment,"36.98442628471617,55.56181256176898,0",36.98442628471617,55.56181256176898,"military unit 31134, (T-72B3, BMP-2, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
23,147th Guards Self-Propelled Artillery Regiment,"36.97023551297903,55.5446625855533,0",36.97023551297903,55.5446625855533,"military unit 73966, (2S19M2 Msta-SM/SM2, 9K51M Tornado-G)",Garrison / Unit Base,garrison,[]
24,1117th Anti-Aircraft Missile Regiment,"36.98607830134998,55.58482828089232,0",36.98607830134998,55.58482828089232,"military unit 51382, (9K331 Tor-M1-U2, 9K33M3 Osa-AKM)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
25,1174th Separate Anti-Tank Battalion,"36.97141995904799,55.54757196256623,0",36.97141995904799,55.54757196256623,"military unit 51381, (9K123 Khrizantema)",Garrison / Unit Base,garrison,[]
26,211st Separate Engineer-Sapper Battalion,"36.95493518270884,55.54295492870992,0",36.95493518270884,55.54295492870992,military unit 77707,Garrison / Unit Base,garrison,[]
27,136th Separate Guards Reconnaissance Battalion,"36.96248876958491,55.5559512974873,0",36.96248876958491,55.5559512974873,military unit 51387,Garrison / Unit Base,garrison,[]
28,47h Separate Communications Battalion,"36.98499720234572,55.56449416138361,0",36.98499720234572,55.56449416138361,military unit 56139,Garrison / Unit Base,garrison,"[""electronic""]"
29,1063rd Separate Material Support Battalion,"36.97486960223478,55.56404857891202,0",36.97486960223478,55.56404857891202,military unit 56155,Garrison / Unit Base,garrison,[]
30,370th Separate Medical Battalion,"36.96603390294825,55.55777712830233,0",36.96603390294825,55.55777712830233,military unit 57062,Garrison / Unit Base,garrison,[]
31,2nd Guards Motor Rifle Division HQ,"36.96522115788768,55.55283465639064,0",36.96522115788768,55.55283465639064,military unit 23626,Garrison / Unit Base,garrison,"[""hq""]"
32,12nd Guards Tank Regiment,"36.7436023673264,55.40221722015655,0",36.7436023673264,55.40221722015655,"military unit 31985, (T-80U, BMP-2, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
33,13rd Guards Tank Regiment,"36.74635201400955,55.40388719931687,0",36.74635201400955,55.40388719931687,"military unit 32010, (T-80U, BMP-2, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
34,423rd Motor Rifle Regiment,"36.73741549357811,55.41303197878396,0",36.73741549357811,55.41303197878396,"military unit 91701, (T-80BV, T-80BVM, BMP-2, 2S19 Msta-S)",Garrison / Unit Base,garrison,[]
35,275th Guards Self-Propelled Artillery Regiment,"36.74238761731468,55.40323042948182,0",36.74238761731468,55.40323042948182,"military unit 73941, (2S19M2 Msta-SM, 2B17M Tornado-G)",Garrison / Unit Base,garrison,[]
36,538th Guards Anti-Aircraft Missile Regiment,"36.74117319992863,55.40871890850817,0",36.74117319992863,55.40871890850817,"military unit 51383, (9K331M Tor-2M)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
37,137th Separate Reconnaissance Battalion,"36.75153599388288,55.40493554682733,0",36.75153599388288,55.40493554682733,military unit 54919,Garrison / Unit Base,garrison,[]
38,413rd Separate Communications Battalion,"36.74749297963043,55.41018676505323,0",36.74749297963043,55.41018676505323,military unit 56132,Garrison / Unit Base,garrison,"[""electronic""]"
39,1088th Separate Material Support Battalion,"36.75550429909934,55.40898670679671,0",36.75550429909934,55.40898670679671,military unit 56164,Garrison / Unit Base,garrison,[]
40,165th Separate Medical Battalion,"36.75825860636754,55.40332896494615,0",36.75825860636754,55.40332896494615,military unit 57069,Garrison / Unit Base,garrison,[]
41,4th Guards Tank Division HQ,"36.72985874837942,55.4063051154658,0",36.72985874837942,55.4063051154658,military unit 19612,Garrison / Unit Base,garrison,"[""hq""]"
42,26th Guards Tank Regiment,"42.9397261921504,56.32228276897813,0",42.9397261921504,56.32228276897813,T-72B3M,Garrison / Unit Base,garrison,[]
43,153rd Tank Regiment,"43.03442035220186,56.30425372388335,0",43.03442035220186,56.30425372388335,"military unit 18425, Commander: Lieutenant Colonel A. Persaev, (T-72B3M Obr. 2022, BMP-2, D-30)",Garrison / Unit Base,garrison,[]
44,197th Guards Tank Regiment,"43.03582799591928,56.30374837686608,0",43.03582799591928,56.30374837686608,T-72B3M Obr. 2022,Garrison / Unit Base,garrison,[]
45,63rd Separate Anti-Aircraft Missile Squadron,"42.94096504137844,56.31916297497825,0",42.94096504137844,56.31916297497825,"(Tor-M2, Pantsir-S1)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
46,1077th Separate Logistics Battalion,"42.94253511104039,56.31915841566813,0",42.94253511104039,56.31915841566813,,Garrison / Unit Base,garrison,[]
47,27th Separate Guards Motor Rifle Brigade,"37.46576890508286,55.61401224309414,0",37.46576890508286,55.61401224309414,"military unit 61899, Commander: Colonel Yaroslav Gladkikh, (T-90A, BMP-3, BTR-82A, 2S3 Akatsiya)",Garrison / Unit Base,garrison,[]
48,112nd Guards Missile Division,"41.38131415846767,56.83826632446293,0",41.38131415846767,56.83826632446293,"military unit 03333, (9K720 Iskander-M)",Missile Unit / Site,missile_base,"[""missile""]"
49,288th Artillery Brigade,"42.94548436705223,56.30871016251435,0",42.94548436705223,56.30871016251435,"military unit 30683, (2A65 Msta-B, BM-27 Uragan, 9K114 Shturm)",Garrison / Unit Base,garrison,[]
50,96th Separate Reconnaissance Brigade,"43.79511568856758,56.34532001808159,0",43.79511568856758,56.34532001808159,"military unit 52634, Commander: Colonel Valery Vdovichenko",Garrison / Unit Base,garrison,[]
51,49th Anti-Aircraft Missile Brigade,"32.03635609213023,54.81910393963766,0",32.03635609213023,54.81910393963766,"military unit 21555, (9K37 Buk, 9K37M1-2 Buk-M1-2)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
52,/B 60th Command and Control Brigade,"37.28322576468928,55.68399048365273,0",37.28322576468928,55.68399048365273,military unit 73621,Garrison / Unit Base,garrison,"[""hq""]"
53,/B 60th Command and Control Brigade,"36.93683535623302,55.5236256322325,0",36.93683535623302,55.5236256322325,military unit 76736,Garrison / Unit Base,garrison,"[""hq""]"
54,20th Separate NBC Protection Regiment,"42.7980810147661,56.29597349956251,0",42.7980810147661,56.29597349956251,military unit 12102,Garrison / Unit Base,garrison,[]
55,69th Separate Material-Technical Support Brigade,"43.48360227688745,56.24467770370767,0",43.48360227688745,56.24467770370767,military unit 11385,Garrison / Unit Base,garrison,[]
56,1st Guards Tank Army HQ,"37.32647770487279,55.68090350312196,0",37.32647770487279,55.68090350312196,military unit 73621,Garrison / Unit Base,garrison,"[""hq""]"
57,237th Guards Tank Regiment,"38.02056438797457,50.27440530965636,0",38.02056438797457,50.27440530965636,"military unit 91726, (T-72B3(M), BMP-2, 2A63 Msta-B)",Garrison / Unit Base,garrison,[]
58,252nd Guards Motor Rifle Regiment,"40.48667316126173,49.94115752559557,0",40.48667316126173,49.94115752559557,"military unit 91711, (T-72B3, BMP-2, 2A63 Msta-B)",Garrison / Unit Base,garrison,[]
59,362nd Motor Rifle Regiment,"38.01956724835969,50.2707048561,0",38.01956724835969,50.2707048561,,Garrison / Unit Base,garrison,[]
60,752nd Motor Rifle Regiment,"38.01442624045485,50.27103371314158,0",38.01442624045485,50.27103371314158,"military unit 34670, (T-72B3M, BTR-80/82A, 2S23 Nona-SBK)",Garrison / Unit Base,garrison,[]
61,99th Self Propelled Artillery Regiment,"40.49503547294948,49.94368142114203,0",40.49503547294948,49.94368142114203,"military unit 91727, (2S19M2 Msta-SM, BM-21 Grad)",Garrison / Unit Base,garrison,[]
62,159th Separate Anti-Tank Battalion,"40.49695193756634,49.94107706975131,0",40.49695193756634,49.94107706975131,"military unit 81989, (9K114 Shturm-S)",Garrison / Unit Base,garrison,[]
63,84th Separate Reconnaissance Battalion,"38.01984120998132,50.26777260790583,0",38.01984120998132,50.26777260790583,military unit 22263,Garrison / Unit Base,garrison,[]
64,337th Separate Engineer-Sapper Battalion,"40.49185679325554,49.94209645355684,0",40.49185679325554,49.94209645355684,military unit 91717,Garrison / Unit Base,garrison,[]
65,692nd Separate Communications Battalion,"38.02676969001666,50.27252905587725,0",38.02676969001666,50.27252905587725,military unit 22463,Garrison / Unit Base,garrison,"[""electronic""]"
66,911st Separate Logistics Battalion,"40.48993864257819,49.93999168983063,0",40.48993864257819,49.93999168983063,military unit 54366,Garrison / Unit Base,garrison,[]
67,231st Separate Medical Battalion,"40.4966289477541,49.9425896490698,0",40.4966289477541,49.9425896490698,military unit 83833,Garrison / Unit Base,garrison,[]
68,254th Motor Rifle Regiment,"32.27155441138708,52.71670352510488,0",32.27155441138708,52.71670352510488,"military unit 91704, (T-72BA, BTR-82A, 2A65 Msta-B, BM-21 Grad)",Garrison / Unit Base,garrison,[]
69,283th Motor Rifle Regiment,"33.16893990707046,54.61045441278898,0",33.16893990707046,54.61045441278898,military unit 83590 (?),Garrison / Unit Base,garrison,[]
70,488th Motor Rifle Regiment,"32.24944734191274,52.74624713518163,0",32.24944734191274,52.74624713518163,"military unit 12721, (T-72B3, BMP-2, 2S1 Gvozdika)",Garrison / Unit Base,garrison,[]
71,59th Guards Tank Regiment,"33.17505845593714,54.61131278390788,0",33.17505845593714,54.61131278390788,military unit 94018,Garrison / Unit Base,garrison,[]
72,856th Self-Propelled Artillery Regiment,"33.47359392894817,52.86850959635061,0",33.47359392894817,52.86850959635061,"military unit 23857, (2S19 Msta-S/2S19M2 Msta-SM, 9K51M Tornado-G)",Garrison / Unit Base,garrison,[]
73,295th Engineer-Sapper Battalion,"33.16584775194441,54.61261441517481,0",33.16584775194441,54.61261441517481,military unit 84130,Garrison / Unit Base,garrison,[]
74,1032nd Separate Logistics Battalion,"33.43521392909789,52.92409352716865,0",33.43521392909789,52.92409352716865,military unit 14370,Garrison / Unit Base,garrison,[]
75,148th Separate Reconnaissance Battalion,"32.036333716489,54.81994033982615,0",32.036333716489,54.81994033982615,military unit 23872,Garrison / Unit Base,garrison,[]
76,1281st Separate Anti-Tank Squadron,"33.1748050443355,54.61441577804146,0",33.1748050443355,54.61441577804146,,Garrison / Unit Base,garrison,[]
77,686th Separate Communications Battalion,"32.4599538509476,54.33569176821555,0",32.4599538509476,54.33569176821555,,Garrison / Unit Base,garrison,"[""electronic""]"
78,448th Missile Brigade,"36.3152382929411,51.71148554872061,0",36.3152382929411,51.71148554872061,"military unit 35535, (9K720 Iskander-M/OTR-21 Tochka)",Missile Unit / Site,missile_base,"[""missile""]"
79,236th Separate Artillery Brigade,"38.84238107459652,55.03415045336665,0",38.84238107459652,55.03415045336665,"military unit 53195, (2S19M2 Msta-SM/SM2, BM-27 Uragan)",Garrison / Unit Base,garrison,[]
80,53rd Anti-Aircraft Missile Brigade,"36.30484867226439,51.70190270095658,0",36.30484867226439,51.70190270095658,"military unit 32406, (9K37 Buk-M1)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
81,9th Command and Control Brigade,"39.14604302058378,51.69012471478103,0",39.14604302058378,51.69012471478103,military unit 31895,Garrison / Unit Base,garrison,"[""hq""]"
82,152nd Separate Logistics Brigade,"39.49860449130703,50.98147432400221,0",39.49860449130703,50.98147432400221,military unit 80504,Garrison / Unit Base,garrison,[]
83,20th Combined Arms Army HQ,"39.21398110053685,51.67932034100092,0",39.21398110053685,51.67932034100092,military unit 89425,Garrison / Unit Base,garrison,"[""hq""]"
84,104th Guards Air Assault Regiment,"28.38195152833377,57.74020289980512,0",28.38195152833377,57.74020289980512,"military unit 32515, (BMD-3/BMD-4M, BTR-D, 2S9 Nona-S, 1V119 Rheostat), Commander: Colonel Alexei Tolmachev",Garrison / Unit Base,garrison,[]
85,234th Guards Air Assault Regiment,"28.31129578345375,57.80666741154364,0",28.31129578345375,57.80666741154364,"military unit 74268, (BMD-3/4, BTR-D, 2S9 Nona-S, 1V119 Rheostat), Commander: Lieutenant Colonel Artyom Gorodilov",Garrison / Unit Base,garrison,[]
86,237th Guards Air Assault Regiment,"28.31239991929289,57.80161578465109,0",28.31239991929289,57.80161578465109,"military unit 57264, Commander: Colonel Mikhail Tkachev",Garrison / Unit Base,garrison,[]
87,1140th Guards Artillery Regiment,"28.31215501577056,57.8000385718227,0",28.31215501577056,57.8000385718227,"military unit 45377, (D-30, 2S9 Nona-S)",Garrison / Unit Base,garrison,[]
88,4th Guards Anti-Aircraft Missile Regiment,"28.31397098083821,57.80570525134426,0",28.31397098083821,57.80570525134426,"military unit 81430, (9K35 Strela-10, BTR-D)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
89,175th Separate Guards Reconnaissance Battalion,"28.31353424001976,57.80473923608047,0",28.31353424001976,57.80473923608047,military unit 54399,Garrison / Unit Base,garrison,[]
90,656th Separate Guards Engineer-Sapper Battalion,"28.30384733415703,57.80053067531697,0",28.30384733415703,57.80053067531697,military unit 45293,Garrison / Unit Base,garrison,[]
91,728th Separate Guards Communications Battalion,"28.3159601520726,57.80189574859155,0",28.3159601520726,57.80189574859155,military unit 24538,Garrison / Unit Base,garrison,"[""electronic""]"
92,1682nd Separate Guards Material Support Battalion,"28.31116422424478,57.80555542742299,0",28.31116422424478,57.80555542742299,military unit 42689,Garrison / Unit Base,garrison,[]
93,35th Separate Medical Detachment,"28.29285194961767,57.80503892385006,0",28.29285194961767,57.80503892385006,military unit 64833,Garrison / Unit Base,garrison,[]
94,124th Separate Tank Battalion,"28.31410194046701,57.80245699278681,0",28.31410194046701,57.80245699278681,T-72B3,Garrison / Unit Base,garrison,[]
95,76th Guards Air-Assault Divsion HQ,"28.30713494292189,57.80387076127606,0",28.30713494292189,57.80387076127606,military unit 07264,Garrison / Unit Base,garrison,"[""hq""]"
96,217th Guards Airborne Regiment,"40.9177761062751,57.00090562947852,0",40.9177761062751,57.00090562947852,"military unit 62295, (BMD-2, BTR-D, BTR-ZD Skrezhet, 2S9 Nona-S)",Garrison / Unit Base,garrison,[]
97,331st Guards Airborne Regiment,"40.97409802662953,57.77063023125748,0",40.97409802662953,57.77063023125748,"military unit 71211, (BMD-2, 2S9 Nona-S, BTR-D)",Garrison / Unit Base,garrison,[]
98,1065th Guards Artillery Regiment,"40.97477186727897,57.76782973774297,0",40.97477186727897,57.76782973774297,"military unit 62297, (D-30, 2S9 Nona-S)",Garrison / Unit Base,garrison,[]
99,5th Separate Guards Anti-Aircraft Missile Regiment,"40.87821863853631,57.00095452494589,0",40.87821863853631,57.00095452494589,"military unit 65376, (9K35 Strela-10, BTR-ZD Skrezhet, BTR-D)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
100,215th Separate Guards Reconnaissance Battalion,"40.91937787026227,57.00079105039598,0",40.91937787026227,57.00079105039598,military unit 54387,Garrison / Unit Base,garrison,[]
101,661st Separate Guards Engineer-Sapper Battalion,"40.87838139334196,57.00207646608634,0",40.87838139334196,57.00207646608634,military unit 65379,Garrison / Unit Base,garrison,[]
102,674th Separate Guards Communications Battalion,"40.96973121983218,57.00537437668265,0",40.96973121983218,57.00537437668265,military unit 65381,Garrison / Unit Base,garrison,"[""electronic""]"
103,1683th Separate Material Support Battalion,"40.87774134480249,56.99987097123081,0",40.87774134480249,56.99987097123081,military unit 65385,Garrison / Unit Base,garrison,[]
104,98th Guards Airborne Division HQ,"40.919454512778,57.00261602055251,0",40.919454512778,57.00261602055251,military unit 65451,Garrison / Unit Base,garrison,"[""hq""]"
105,51st Guards Airborne Regiment,"37.61446788752198,54.23111364798409,0",37.61446788752198,54.23111364798409,"military unit 33842, Commander: Lieutenant Colonel Vyacheslav Alexandrov, (BMD-1, BMD-2, BTR-ZD Skrezhet, 2S9 Nona-S)",Garrison / Unit Base,garrison,[]
106,137th Guards Airborne Regiment,"39.67912297564222,54.60580722242652,0",39.67912297564222,54.60580722242652,"military unit 41450, Commander: Colonel Roman Borsuk, (BMD-2, BMD-4M, BTR-ZD Skrezhet, 2S9 Nona-S)",Garrison / Unit Base,garrison,[]
107,1182th Guards Artillery Regiment,"36.71274890620673,55.41973194299111,0",36.71274890620673,55.41973194299111,"military unit 93723, (D-30, 2S9 Nona-S)",Garrison / Unit Base,garrison,[]
108,1st Guards Anti-Aircraft Missile Regiment,"36.71581687015344,55.41998815583117,0",36.71581687015344,55.41998815583117,"military unit 71298, (9K35 Strela-10, BTR-ZD Skrezhet, BTR-D)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
109,173rd Separate Guards Reconnaissance Battalion,"37.61510080648808,54.23031059118664,0",37.61510080648808,54.23031059118664,military unit 54392,Garrison / Unit Base,garrison,[]
110,388th Separate Guards Engineer Battalion,"37.6128969931969,54.22982860563484,0",37.6128969931969,54.22982860563484,military unit 12159,Garrison / Unit Base,garrison,[]
111,731st Separate Guards Communications Battalion,"37.61568513170699,54.23003343245801,0",37.61568513170699,54.23003343245801,military unit 93687,Garrison / Unit Base,garrison,"[""electronic""]"
112,1060th Separate Material Support Battalion,"37.52943437911637,54.38341508934856,0",37.52943437911637,54.38341508934856,military unit 14403,Garrison / Unit Base,garrison,[]
113,106th Guards Airborne Division HQ,"37.61782449134595,54.23084865824529,0",37.61782449134595,54.23084865824529,military unit 55599,Garrison / Unit Base,garrison,"[""hq""]"
114,14th Fighter Aviation Regiment,"36.29917292254899,51.75123898857608,0",36.29917292254899,51.75123898857608,"military unit 45119, (24x Su-30SM)",Airbase / Airfield,airbase,"[""aviation""]"
115,47th Separate Mixed Aviation Regiment,"39.14177443862985,51.62255013774802,0",39.14177443862985,51.62255013774802,"military unit 45117, (24x Su-34)",Airbase / Airfield,airbase,"[""aviation""]"
116,159th Guards Fighter Aviation Regiment,"34.14145132735268,61.88529417966247,0",34.14145132735268,61.88529417966247,"military unit 45121, (24x Su-35S, 2x Su-27UB)",Airbase / Airfield,airbase,"[""aviation""]"
117,790th Fighter Aviation Regiment,"34.09462167781902,57.65743053025167,0",34.09462167781902,57.65743053025167,"military unit 45118, (19x MiG-31BSM, 5x MiG-31BM, 10x Su-27SM)",Airbase / Airfield,airbase,"[""aviation""]"
118,500th Anti-Aircraft Missile Regiment HQ,"29.55348057111447,59.75375101229452,0",29.55348057111447,59.75375101229452,military unit 90450,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
119,/R 500th Anti-Aircraft Missile Regiment,"28.81049279560375,59.48111405265355,0",28.81049279560375,59.48111405265355,"military unit 90450, S-300PM",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
120,/R 500th Anti-Aircraft Missile Regiment,"29.43866532143008,59.89567712546587,0",29.43866532143008,59.89567712546587,"military unit 90450, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
121,1488th Anti-Aircraft Missile Regiment HQ,"29.7157221331853,60.24550100959138,0",29.7157221331853,60.24550100959138,military unit 03216,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
122,/R 1488th Anti-Aircraft Missile Regiment,"29.58033586332423,60.2318790263046,0",29.58033586332423,60.2318790263046,"military unit 03216, S-300PS",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
123,/R 1488th Anti-Aircraft Missile Regiment,"29.73931663796661,60.24439939104978,0",29.73931663796661,60.24439939104978,"military unit 03216, S-300PS",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
124,/R 1488th Anti-Aircraft Missile Regiment,"29.4903345024331,60.21612097288315,0",29.4903345024331,60.21612097288315,"military unit 03216, S-300PS",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
125,/R 1488th Anti-Aircraft Missile Regiment,"29.72814673593529,60.27944746703162,0",29.72814673593529,60.27944746703162,"military unit 03216, S-300PS",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
126,1489th Anti-Aircraft Missile Regiment HQ,"31.0011950184738,60.05814654362163,0",31.0011950184738,60.05814654362163,military unit 28036,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
127,/R 1489th Guards Anti-Aircraft Missile Regiment,"31.02917457359502,60.09148024949612,0",31.02917457359502,60.09148024949612,"military unit 28036, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
128,/R 1489th Guards Anti-Aircraft Missile Regiment,"31.03649719718113,60.05794795948762,0",31.03649719718113,60.05794795948762,"military unit 28036, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
129,1490th Guards Anti-Aircraft Missile Regiment HQ,"30.23478895336414,59.50291460525236,0",30.23478895336414,59.50291460525236,military unit 28037,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
130,/R 1490th Guards Anti-Aircraft Missile Regiment,"30.70434166949327,59.56509443996801,0",30.70434166949327,59.56509443996801,"military unit 28037, S-300PS",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
131,/R 1490th Guards Anti-Aircraft Missile Regiment,"30.71924929387567,59.58071959904574,0",30.71924929387567,59.58071959904574,"military unit 28037, S-300PS",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
132,/R 1490th Guards Anti-Aircraft Missile Regiment,"30.6508977901665,59.54026970785831,0",30.6508977901665,59.54026970785831,"military unit 28037, S-300PS",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
133,/R 1544th Anti-Aircraft Missile Regiment,"29.06577263160198,58.20662616174652,0",29.06577263160198,58.20662616174652,"military unit 55584, (S-400, S-300PS)",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
134,/R 1544th Anti-Aircraft Missile Regiment,"29.07970579567648,58.21731880082989,0",29.07970579567648,58.21731880082989,"military unit 55584, S-400",Missile Unit / Site,missile_base,"[""air_defense"", ""missile""]"
135,1544th Anti-Aircraft Missile Regiment HQ,"29.06975429230247,58.20661369565966,0",29.06975429230247,58.20661369565966,military unit 55584,Missile Unit / Site,missile_base,"[""air_defense"", ""hq"", ""missile""]"
136,/R 333rd Radio-Technical Regiment,"29.57153618080759,59.73939928334288,0",29.57153618080759,59.73939928334288,military unit 17646,Garrison / Unit Base,garrison,"[""electronic""]"
137,/R 333rd Radio-Technical Regiment,"26.97381961517418,60.06563748118759,0",26.97381961517418,60.06563748118759,military unit 17646,Garrison / Unit Base,garrison,"[""electronic""]"
138,/R 333rd Radio-Technical Regiment,"29.99141331919626,59.68321599072448,0",29.99141331919626,59.68321599072448,"military unit 17646, receiving radio center",Garrison / Unit Base,garrison,"[""electronic""]"
139,/R 333rd Radio-Technical Regiment,"29.97324049369693,59.7420969738865,0",29.97324049369693,59.7420969738865,military unit 17646-F,Garrison / Unit Base,garrison,"[""electronic""]"
140,/R 333rd Radio-Technical Regiment,"28.00642783141759,58.80059564911479,0",28.00642783141759,58.80059564911479,military unit 17646-М,Garrison / Unit Base,garrison,"[""electronic""]"
141,/R 333rd Radio-Technical Regiment,"28.3933394178101,57.31358512727411,0",28.3933394178101,57.31358512727411,military unit 17646-S,Garrison / Unit Base,garrison,"[""electronic""]"
142,/R 333rd Radio-Technical Regiment,"28.88727960439439,56.34540938623998,0",28.88727960439439,56.34540938623998,military unit 17646,Garrison / Unit Base,garrison,"[""electronic""]"
143,/R 333rd Radio-Technical Regiment,"28.92208852587146,60.96640987400642,0",28.92208852587146,60.96640987400642,military unit 17646-K,Garrison / Unit Base,garrison,"[""electronic""]"
144,/R 333rd Radio-Technical Regiment,"31.02953275311222,60.09214439078648,0",31.02953275311222,60.09214439078648,military unit 17646-V,Garrison / Unit Base,garrison,"[""electronic""]"
145,/R 333rd Radio-Technical Regiment,"30.65198082424263,59.53701270120039,0",30.65198082424263,59.53701270120039,military unit 17646-B,Garrison / Unit Base,garrison,"[""electronic""]"
