Unnamed: 0,military_base_name,coordinates,longtitudes,latitudes,description,type,type_norm,tags
1246,153rd Main Testing Center,"37.04868435648926,55.59714475051672,0",37.04868435648926,55.59714475051672,"military unit 32103, Commander: Major General Andrey Marchuk, testing and control of space facilities",Garrison / Unit Base,garrison,[]
1247,40th Separate Command and Measurement Complex (NIP-16),"33.16560224708303,45.22218837307753,0",33.16560224708303,45.22218837307753,"military unit 81415, Commander: Colonel Vadim Drosov",Headquarters / Command,hq_command,"[""hq""]"
1248,Office for the Introduction of New Systems and Complexes of the Space Forces,"37.32797012916483,55.80361658204821,0",37.32797012916483,55.80361658204821,military unit 73570,Garrison / Unit Base,garrison,[]
1249,Information and Analytical Point,"38.50171091264075,56.07305709617818,0",38.50171091264075,56.07305709617818,military unit 41646,Garrison / Unit Base,garrison,[]
1250,145th Space Control Center,"38.50405481071463,56.07593241490396,0",38.50405481071463,56.07593241490396,military unit 28289,Garrison / Unit Base,garrison,[]
1251,1109th Separate Optoelectronic Unit,"69.2245579789341,38.28083384521818,0",69.2245579789341,38.28083384521818,"unit 52168
Complex Okno-M",Garrison / Unit Base,garrison,[]
1252,Measuring Complex on the territory of Altai Optical-Laser Center,"82.18653280366925,51.33683167653572,0",82.18653280366925,51.33683167653572,,Unknown,unknown,[]
1253,Possibly a facility belonging to the 821st Space Situation Monitoring Main Center,"38.51062902532154,56.04450101845327,0",38.51062902532154,56.04450101845327,,Unknown,unknown,[]
1254,A facility under construction that will presumably belong to the 821st Space Situation Monitoring Main Center,"38.50318993283546,56.05295788302053,0",38.50318993283546,56.05295788302053,,Unknown,unknown,[]
1255,821st Space Situation Monitoring Main Center HQ,"38.49758297397498,56.07559753651066,0",38.49758297397498,56.07559753651066,military unit 61437,Garrison / Unit Base,garrison,"[""hq""]"
1256,7th Separate Scientific Testing Point,"83.35963213440266,53.31480536443235,0",83.35963213440266,53.31480536443235,"military unit 85906, Recently expanded (2022)",Garrison / Unit Base,garrison,[]
1257,26th Separate Measurement Point,"20.24342368270604,54.94444555472175,0",20.24342368270604,54.94444555472175,military unit 92626,Garrison / Unit Base,garrison,[]
